App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5896305,HDR,08/09/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5890166,HDR,07/26/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5903699,HDR,08/14/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5899260,HDR,08/13/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5888648,HDR,07/19/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5890191,HDR,07/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924498,HDR,10/23/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5921721,HDR,09/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5922464,HDR,10/02/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923955,HDR,10/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923842,HDR,10/16/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5892956,HDR,08/05/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5922388,HDR,10/01/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5889046,HDR,07/21/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923951,HDR,10/16/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5924374,HDR,10/22/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5886549,HDR,07/10/2018,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5922440,HDR,10/02/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5919646,HDR,09/05/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5924305,HDR,10/20/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923145,HDR,10/09/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5893073,HDR,08/06/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922804,HDR,10/05/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5921696,HDR,09/25/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5914726,HDR,08/24/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921356,HDR,09/21/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922501,HDR,10/02/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5892656,HDR,08/03/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Copy of DMV license needed,10/27/2018 12:00:30 PM
5924857,HDR,10/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5891191,HDR,07/31/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5887761,HDR,07/16/2018,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920072,HDR,09/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5899686,HDR,08/13/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,10/27/2018 12:00:30 PM
5888430,HDR,07/19/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5882423,HDR,06/20/2018,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,10/27/2018 12:00:30 PM
5922969,HDR,10/08/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924711,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5914889,HDR,08/24/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5924365,HDR,10/21/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5889014,HDR,07/21/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5922631,HDR,10/03/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919586,HDR,09/04/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5897245,HDR,08/10/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5894010,HDR,08/07/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5924770,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923620,HDR,10/14/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924085,HDR,10/18/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924268,HDR,10/19/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921803,HDR,09/26/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5909357,HDR,08/20/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5923653,HDR,10/15/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924572,HDR,10/23/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5891042,HDR,07/31/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5921266,HDR,09/20/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920721,HDR,09/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5921790,HDR,02/06/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license needed,10/27/2018 12:00:30 PM
5917206,HDR,08/26/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5898839,HDR,08/12/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5900592,HDR,08/13/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5924049,HDR,10/17/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5891972,HDR,08/02/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed,10/27/2018 12:00:30 PM
5922417,HDR,10/02/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5910609,HDR,08/21/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5904281,HDR,08/14/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5922152,HDR,09/29/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5899316,HDR,08/13/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922977,HDR,10/08/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5924185,HDR,10/19/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5923054,HDR,10/09/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924096,HDR,10/18/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923141,HDR,10/09/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5890324,HDR,07/27/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920868,HDR,09/17/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5892684,HDR,08/03/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924552,HDR,10/23/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923286,HDR,10/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5895004,HDR,08/08/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920051,HDR,09/10/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5899208,HDR,08/12/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923855,HDR,10/16/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920079,HDR,09/10/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5919383,HDR,09/01/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5898774,HDR,08/12/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5923337,HDR,10/11/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924764,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5892890,HDR,08/04/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924644,HDR,10/24/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923643,HDR,10/14/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5892635,HDR,08/03/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5893448,HDR,08/06/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5896148,HDR,08/09/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924586,HDR,10/24/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5894855,HDR,08/08/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5918895,HDR,08/28/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5901425,HDR,08/13/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924779,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923031,HDR,10/09/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5921731,HDR,09/26/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5889760,HDR,07/25/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919483,HDR,09/04/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5893015,HDR,08/06/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5912655,HDR,08/22/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920964,HDR,09/18/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5898635,HDR,08/12/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,10/27/2018 12:00:30 PM
5923606,HDR,10/13/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5893365,HDR,08/06/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5922327,HDR,10/01/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5886195,HDR,07/09/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5905178,HDR,08/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5888378,HDR,07/18/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920374,HDR,09/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5909025,HDR,08/18/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919958,HDR,09/08/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5924807,HDR,10/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5901827,HDR,08/14/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5921908,HDR,09/27/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5922524,HDR,10/02/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5924005,HDR,10/17/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5889785,HDR,07/25/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5893419,HDR,08/06/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5890883,HDR,07/30/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5924699,HDR,10/25/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5891452,HDR,08/01/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5875391,HDR,05/21/2018,Pending Fitness Interview,09/24/2018,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923837,HDR,10/16/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5909233,HDR,08/19/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5895489,HDR,08/08/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5889085,HDR,07/22/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5904946,HDR,08/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920798,HDR,09/17/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923146,HDR,10/09/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5890468,HDR,07/28/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5922460,HDR,10/02/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5899793,HDR,08/13/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5894853,HDR,08/08/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922200,HDR,09/30/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920161,HDR,09/10/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920730,HDR,09/16/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5923624,HDR,10/14/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5922763,HDR,10/04/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5889764,HDR,07/25/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5917208,HDR,08/26/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5924361,HDR,10/21/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5923649,HDR,10/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920588,HDR,09/14/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5918369,HDR,08/27/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5924159,HDR,10/18/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5896335,HDR,08/10/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,10/27/2018 12:00:30 PM
5921290,HDR,09/21/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919293,HDR,08/31/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5889148,HDR,07/23/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920305,HDR,09/11/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924560,HDR,10/23/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920968,HDR,09/18/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5898579,HDR,08/11/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5898023,HDR,08/11/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924119,HDR,10/18/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920648,HDR,09/14/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921992,HDR,09/27/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5892512,HDR,08/03/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5922992,HDR,10/08/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,10/27/2018 12:00:30 PM
5923682,HDR,10/15/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922708,HDR,10/04/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923486,HDR,10/12/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5920158,HDR,09/10/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5891476,HDR,08/01/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5896288,HDR,08/09/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919282,HDR,08/31/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5894119,HDR,08/07/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5892693,HDR,08/04/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5924873,HDR,10/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5896111,HDR,08/09/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5920777,HDR,09/17/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Copy of DMV license needed,10/27/2018 12:00:30 PM
5896146,HDR,08/09/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5924512,HDR,10/23/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921257,HDR,09/20/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922654,HDR,10/03/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921774,PDR,04/28/1997,Incomplete,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Fingerprints needed,10/27/2018 12:00:30 PM
5895230,HDR,08/08/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5909277,HDR,08/19/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
